tag,text,xpath
p,Subscribe to get 25% off forever,/html/body/main/section[1]/section/div/div[2]/div/div[4]/form/div/div[1]/label[2]/div/span[2]/p
p,"After shampooing, wet the bar with warm water and massage it into your strands from lengths to ends, working it into a sudsy lather. Rinse and comb or detangle as usual.",/html/body/main/section[1]/section/div/div[2]/div/div[10]/div/div/div/p[1]
p,"Pro Tip: For even softer, frizz-free hair, pair with the Kitsch Nourishing Castor Oil Solid Shampoo to help nourish and balance your scalp & strands.",/html/body/main/section[1]/section/div/div[2]/div/div[10]/div/div/div/p[2]
p,"Nourish your hair from roots to ends with the help of Castor Oil, a strand-strengthening and scalp-balancing oil for clean, healthy hair.",/html/body/main/section[1]/section/div/div[2]/div/div[11]/div/div/div/div/div[1]/div[2]/div/p
p,"Ricinoleic Acid can help promote stronger, more luscious hair by stimulating blood flow to your scalp to support healthier hair follicles and growth.",/html/body/main/section[1]/section/div/div[2]/div/div[11]/div/div/div/div/div[2]/div[2]/div/p
p,"Detangle knots and control frizz with Fision® Hydratress for smooth, shiny strands.",/html/body/main/section[1]/section/div/div[2]/div/div[11]/div/div/div/div/div[3]/div[2]/div/p
p,This natural alternative to silicone helps condition your strands with a boost of shine.,/html/body/main/section[1]/section/div/div[2]/div/div[11]/div/div/div/div/div[4]/div[2]/div/p
p,We are Leaping Bunny certified! The Leaping Bunny Logo is the only internationally recognized symbol guaranteeing consumers that no new animal tests were used in the development of any product displaying it.,/html/body/main/section[1]/section/div/div[2]/div/div[12]/div/div/div/p
h2,Castor Oil Shampoo + Conditioner Combo,/html/body/main/section[1]/div[1]/div/div[2]/div/h2
p,Register to receive a notification when this item comes back in stock.,/html/body/main/section[1]/div[1]/div/div[2]/div/p
p,Please enter a valid email address.,/html/body/main/section[1]/div[1]/div/div[2]/div/div/p[1]
p,Thanks for signing up! We'll send you an email when the product becomes available.,/html/body/main/section[1]/div[1]/div/div[2]/div/div/p[2]
h2,Best Selling Bundles,/html/body/main/section[2]/div/div/div[1]/div[1]/h2
a,"Rs. 1,080.00 OFF
            
10% OFF",/html/body/main/section[2]/div/div/div[2]/ul/li[1]/div/div[1]/a
p,Castor Oil Shampoo + Conditioner + Soap Dish Bundle,/html/body/main/section[2]/div/div/div[2]/ul/li[1]/div/a/p
a,"Rs. 840.00 OFF
            
10% OFF",/html/body/main/section[2]/div/div/div[2]/ul/li[2]/div/div[1]/a
p,Pack Light Bundle - Castor Oil,/html/body/main/section[2]/div/div/div[2]/ul/li[2]/div/a/p
h2,4 Reasons Why Millions of Women are Switching to Castor Oil,/html/body/main/div[1]/div/div/h2
h3,1. less hair breakage,/html/body/main/div[1]/div/div/div/div[2]/div/div[1]/h3
p,"Castor oil has moisturizing properties, which could help lubricate the hair shaft, increasing flexibility and decreasing the chance of breakage.",/html/body/main/div[1]/div/div/div/div[2]/div/div[1]/div/p
h3,2. strengthening,/html/body/main/div[1]/div/div/div/div[2]/div/div[2]/h3
p,"The idea is that the high content of ricinoleic acid may help improve blood circulation in the scalp, which might lead to nutrition for the hair follicles, stronger strands, and less breakage.",/html/body/main/div[1]/div/div/div/div[2]/div/div[2]/div/p
h3,3. healthy scalp,/html/body/main/div[1]/div/div/div/div[2]/div/div[3]/h3
p,"Castor Oil increases blood flow to the scalp, which promotes healthier hair.",/html/body/main/div[1]/div/div/div/div[2]/div/div[3]/div/p
h3,4. detoxifying,/html/body/main/div[1]/div/div/div/div[2]/div/div[4]/h3
p,Castor Oil's antimicrobial and antifungal properties can reduce dandruff.,/html/body/main/div[1]/div/div/div/div[2]/div/div[4]/div/p
h2,Perfect Additions,/html/body/main/section[4]/div/div/div[1]/div[1]/h2
a,Rs. 340.00 OFF,/html/body/div[4]/div[2]/div[1]/form/div[2]/div[3]/ul/li[1]/div/div/a
p,Deep-Moisturizing Conditioner Bar for Dry Damaged Hair,/html/body/main/section[4]/div/div/div[2]/ul/li[1]/div/a/p
