tag,text,xpath
a,Conditioners,/html/body/section[2]/fostr-mobilemenu/aside/fostr-mobilemenu-tier/fostr-mobilemenu-tier-body/fostr-mobilemenu-link-blocks/fostr-mobilemenu-link-block[2]/div[2]/div/ul/li[2]/a
p,"Masks, Oils & Serums​",/html/body/fostr-main-content/div[2]/aside/fostr-megamenu-item[1]/fostr-megamenu-columns/fostr-megamenu-column[1]/fostr-megamenu-links/p[4]
a,"Masks, Oils & Serums​",/html/body/fostr-main-content/div[2]/aside/fostr-megamenu-item[1]/fostr-megamenu-columns/fostr-megamenu-column[1]/fostr-megamenu-links/p[4]/a
p,Styling Creams & Gels​,/html/body/fostr-main-content/div[2]/aside/fostr-megamenu-item[1]/fostr-megamenu-columns/fostr-megamenu-column[1]/fostr-megamenu-links/p[5]
a,Styling Creams & Gels​,/html/body/fostr-main-content/div[2]/aside/fostr-megamenu-item[1]/fostr-megamenu-columns/fostr-megamenu-column[1]/fostr-megamenu-links/p[5]/a
p,Tools & Brushes​,/html/body/fostr-main-content/div[2]/aside/fostr-megamenu-item[1]/fostr-megamenu-columns/fostr-megamenu-column[1]/fostr-megamenu-links/p[6]
a,Tools & Brushes​,/html/body/fostr-main-content/div[2]/aside/fostr-megamenu-item[1]/fostr-megamenu-columns/fostr-megamenu-column[1]/fostr-megamenu-links/p[6]/a
p,Accessories​,/html/body/fostr-main-content/div[2]/aside/fostr-megamenu-item[1]/fostr-megamenu-columns/fostr-megamenu-column[1]/fostr-megamenu-links/p[7]
a,Accessories​,/html/body/fostr-main-content/div[2]/aside/fostr-megamenu-item[1]/fostr-megamenu-columns/fostr-megamenu-column[1]/fostr-megamenu-links/p[7]/a
p,Shop All,/html/body/fostr-main-content/div[2]/aside/fostr-megamenu-item[1]/fostr-megamenu-columns/fostr-megamenu-column[1]/fostr-megamenu-links/p[8]
a,Shop All,/html/body/fostr-main-content/div[2]/aside/fostr-megamenu-item[1]/fostr-megamenu-columns/fostr-megamenu-column[1]/fostr-megamenu-links/p[8]/a
a,Curl Mousse,/html/body/section[2]/fostr-mobilemenu/aside/fostr-mobilemenu-tier/fostr-mobilemenu-tier-body/fostr-mobilemenu-link-blocks/fostr-mobilemenu-link-block[2]/div[2]/div/slider-component/ul/li[1]/a
a,Hydration Shampoo,/html/body/section[2]/fostr-mobilemenu/aside/fostr-mobilemenu-tier/fostr-mobilemenu-tier-body/fostr-mobilemenu-link-blocks/fostr-mobilemenu-link-block[2]/div[2]/div/slider-component/ul/li[3]/a
a,Palo Santo Styling Cream,/html/body/section[2]/fostr-mobilemenu/aside/fostr-mobilemenu-tier/fostr-mobilemenu-tier-body/fostr-mobilemenu-link-blocks/fostr-mobilemenu-link-block[2]/div[2]/div/slider-component/ul/li[4]/a
a,Leave-In Conditioner,/html/body/fostr-main-content/div[2]/aside/fostr-megamenu-item[1]/fostr-megamenu-columns/fostr-megamenu-column[2]/fostr-megamenu-column/fostr-megamenu-column[4]/a[2]
a,Detangling Nectar,/html/body/section[2]/fostr-mobilemenu/aside/fostr-mobilemenu-tier/fostr-mobilemenu-tier-body/fostr-mobilemenu-link-blocks/fostr-mobilemenu-link-block[2]/div[2]/div/slider-component/ul/li[5]/a
a,Palo Santo Medium Conditioner,/html/body/section[2]/fostr-mobilemenu/aside/fostr-mobilemenu-tier/fostr-mobilemenu-tier-body/fostr-mobilemenu-link-blocks/fostr-mobilemenu-link-block[2]/div[2]/div/slider-component/ul/li[7]/a
a,Take our curl quiz,/html/body/fostr-main-content/div[2]/aside/fostr-megamenu-item[1]/fostr-megamenu-columns/fostr-megamenu-column[3]/a[2]
h3,Shop by Texture,/html/body/fostr-main-content/div[2]/aside/fostr-megamenu-item[2]/h3
a,curly,/html/body/fostr-main-content/div[2]/aside/fostr-megamenu-item[2]/fostr-megamenu-columns/fostr-megamenu-column[1]/a[2]
a,tight texture,/html/body/fostr-main-content/div[2]/aside/fostr-megamenu-item[2]/fostr-megamenu-columns/fostr-megamenu-column[2]/a[2]
a,coily,/html/body/fostr-main-content/div[2]/aside/fostr-megamenu-item[2]/fostr-megamenu-columns/fostr-megamenu-column[3]/a[2]
a,locs,/html/body/fostr-main-content/div[2]/aside/fostr-megamenu-item[2]/fostr-megamenu-columns/fostr-megamenu-column[4]/a[2]
a,shop all products,/html/body/fostr-main-content/div[2]/aside/fostr-megamenu-item[2]/div/a
h3,SETS & MINIS,/html/body/fostr-main-content/div[2]/aside/fostr-megamenu-item[3]/h3
a,curl type starter sets,/html/body/fostr-main-content/div[2]/aside/fostr-megamenu-item[3]/fostr-megamenu-columns/fostr-megamenu-column[1]/a[2]
a,mini sets,/html/body/fostr-main-content/div[2]/aside/fostr-megamenu-item[3]/fostr-megamenu-columns/fostr-megamenu-column[2]/a[2]
a,bestselling sets & kits,/html/body/fostr-main-content/div[2]/aside/fostr-megamenu-item[3]/fostr-megamenu-columns/fostr-megamenu-column[3]/a[2]
a,shop all SETS & MINIS,/html/body/fostr-main-content/div[2]/aside/fostr-megamenu-item[3]/div/a
a,SHOP BESTSELLERS,/html/body/fostr-main-content/main/section[1]/div/div[1]/div/div[1]/div/div/div/div/a[2]
a,SHOP THE JUICY CURL KIT,/html/body/fostr-main-content/main/section[1]/div/div[1]/div/div[2]/div/div/div/div/a[2]
a,SHOP THE KIT,/html/body/fostr-main-content/main/section[1]/div/div[1]/div/div[3]/div/div/div/div/a[2]
a,SHOP THE CURLING IRON,/html/body/fostr-main-content/main/section[1]/div/div[1]/div/div[4]/div/div/div/div/a[2]
a,SHOP NOW,/html/body/fostr-main-content/main/section[1]/div/div[1]/div/div[5]/div/div/div/div/a[2]
a,SHOP BESTSELLERS,/html/body/fostr-main-content/main/section[1]/div/div[1]/div/div[1]/div/div/div/div/a[2]
a,SHOP THE JUICY CURL KIT,/html/body/fostr-main-content/main/section[1]/div/div[1]/div/div[2]/div/div/div/div/a[2]
a,SHOP THE KIT,/html/body/fostr-main-content/main/section[1]/div/div[1]/div/div[3]/div/div/div/div/a[2]
a,SHOP THE CURLING IRON,/html/body/fostr-main-content/main/section[1]/div/div[1]/div/div[4]/div/div/div/div/a[2]
a,SHOP NOW,/html/body/fostr-main-content/main/section[1]/div/div[1]/div/div[5]/div/div/div/div/a[2]
a,SHOP BESTSELLERS,/html/body/fostr-main-content/main/section[1]/div/div[1]/div/div[1]/div/div/div/div/a[2]
p,Add a touch of warmth & tenderness to your haircare routine with our community's favorite scent now in travel sizes.,/html/body/fostr-main-content/main/div[1]/div/div/div/div[2]/div/div[2]/p[1]
p,"featuring Leave-in Conditioner, Styling Cream & Curl Mousse all in our Palo Santo scent",/html/body/fostr-main-content/main/div[1]/div/div/div/div[2]/div/div[2]/p[2]
a,SHOP NOW,/html/body/fostr-main-content/main/section[1]/div/div[1]/div/div[5]/div/div/div/div/a[2]
a,Subtitle,/html/body/fostr-main-content/main/section[2]/div/div/div[1]/div/div/div/div/div[1]/div/div/div[2]/div/div/div/a
a,Leave-In Conditioner,/html/body/fostr-main-content/div[2]/aside/fostr-megamenu-item[1]/fostr-megamenu-columns/fostr-megamenu-column[2]/fostr-megamenu-column/fostr-megamenu-column[4]/a[2]
a,Palo Santo Mini Stylers Kit,/html/body/fostr-main-content/main/section[2]/div/div/div[1]/div/div/div/div/div[2]/ul/li[2]/div/div/div/div/div/div/div[2]/div/div/div/a
a,Curl Mousse,/html/body/section[2]/fostr-mobilemenu/aside/fostr-mobilemenu-tier/fostr-mobilemenu-tier-body/fostr-mobilemenu-link-blocks/fostr-mobilemenu-link-block[2]/div[2]/div/slider-component/ul/li[1]/a
a,The PATTERN Blow Dryer,/html/body/fostr-main-content/main/section[2]/div/div/div[1]/div/div/div/div/div[2]/ul/li[4]/div/div/div/div/div/div/div[2]/div/div/div/a
